==2008== NVPROF is profiling process 2008, command: ./Trial2 4
==2008== Profiling application: ./Trial2 4
==2008== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 96.64%  285.00us         1  285.00us  285.00us  285.00us  dft_CUDA(float2*, float2*, int)
  2.42%  7.1360us         2  3.5680us  2.6560us  4.4800us  [CUDA memset]
  0.72%  2.1120us         1  2.1120us  2.1120us  2.1120us  [CUDA memcpy DtoH]
  0.23%     672ns         1     672ns     672ns     672ns  [CUDA memcpy HtoD]

==2008== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 97.32%  120.02ms         2  60.008ms  12.678us  120.00ms  cudaMalloc
  1.53%  1.8872ms        83  22.737us       0ns  973.19us  cuDeviceGetAttribute
  0.47%  577.76us         1  577.76us  577.76us  577.76us  cuDeviceGetName
  0.28%  344.72us         1  344.72us  344.72us  344.72us  cudaDeviceSynchronize
  0.14%  173.27us         2  86.633us  86.332us  86.935us  cudaMemcpy
  0.13%  154.55us         2  77.276us  15.093us  139.46us  cudaFree
  0.06%  69.427us         2  34.713us  18.111us  51.316us  cudaMemset
  0.03%  40.449us         1  40.449us  40.449us  40.449us  cudaLaunch
  0.02%  30.789us         2  15.394us  10.866us  19.923us  cudaMemGetInfo
  0.01%  12.074us         1  12.074us  12.074us  12.074us  cuDeviceTotalMem
  0.00%  4.8300us         1  4.8300us  4.8300us  4.8300us  cudaConfigureCall
  0.00%  4.2260us         3  1.4080us       0ns  2.4150us  cudaSetupArgument
  0.00%  1.2080us         2     604ns     604ns     604ns  cuDeviceGetCount
  0.00%     603ns         2     301ns       0ns     603ns  cuDeviceGet
